hotel,city,url,price,rating,stars,price_range,lowest_price,highest_price
Фулрич,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d2262873-Reviews-Fullrich_Residence-Bangkok.html,Как добраться,"3,0","3,0",1 003 руб - 1 185 руб,1 003 руб,1 185 руб
Badbed Hotel,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d19452378-Reviews-Badbed_Hotel-Bangkok.html,Как добраться,"4,5","3,0",1 277 руб - 1 459 руб,1 277 руб,1 459 руб
Бест Комфорт Бангкок Отель,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d1602276-Reviews-Best_Comfort-Bangkok.html,Как добраться,"3,0","3,0",2 827 руб - 3 009 руб,2 827 руб,3 009 руб
51 Suanplu Residence,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d16721295-Reviews-51_Suanplu_Residence-Bangkok.html,Как добраться,"4,5",,1 824 руб - 2 280 руб,1 824 руб,2 280 руб
Евро Лакшери Павилион Отель,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d3879334-Reviews-Euro_Luxury_Pavillion_Hotel-Bangkok.html,Как добраться,"3,0",,2 553 руб - 2 736 руб,2 553 руб,2 736 руб
Грейт Резиденс Отель,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d1236698-Reviews-The_Great_Residence_Hotel-Bangkok.html,Как добраться,"3,0","3,0",2 006 руб - 2 371 руб,2 006 руб,2 371 руб
Патра Суварнабхуми,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d1602193-Reviews-The_Patra_Hotel_Rama_9-Bangkok.html,Как добраться,"3,5","3,0",2 097 руб - 2 553 руб,2 097 руб,2 553 руб
MOCA Hotel,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d15853068-Reviews-MOCA_Hotel-Bangkok.html,Как добраться,"3,5","3,0",1 915 руб - 2 189 руб,1 915 руб,2 189 руб
Justice Hotel,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d17789917-Reviews-Justice_Hotel-Bangkok.html,Как добраться,"5,0","3,0",2 280 руб - 3 009 руб,2 280 руб,3 009 руб
Tori Prestige Bangkok Hotel,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d17793646-Reviews-Tori_Prestige_Bangkok_Hotel-Bangkok.html,Как добраться,"3,5","4,0",2 827 руб - 3 648 руб,2 827 руб,3 648 руб
Vinary Hotel Sukhumvit Bangkok,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d19192370-Reviews-Vinary_Hotel_Sukhumvit_Bangkok-Bangkok.html,Как добраться,"3,5","3,0",2 280 руб - 2 918 руб,2 280 руб,2 918 руб
NW Apartment,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d19891995-Reviews-NW_Apartment-Bangkok.html,Как добраться,"5,0","3,0",1 459 руб - 2 189 руб,1 459 руб,2 189 руб
Station8 Hostel,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d21243472-Reviews-Station8_Hostel-Bangkok.html,Как добраться,"5,0",,3 556 руб - 3 739 руб,3 556 руб,3 739 руб
Bangna 21 Residence,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d8797315-Reviews-Bangna_21_Residence-Bangkok.html,Как добраться,"4,0","2,0",1 368 руб - 1 459 руб,1 368 руб,1 459 руб
Аия Резиденс Спорт Клуб Бтс Баджет Отель,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d1527484-Reviews-The_Aiyapura_Bangkok-Bangkok.html,Как добраться,"3,0","3,0",1 550 руб - 2 006 руб,1 550 руб,2 006 руб
Grand Sala Thai,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d17768230-Reviews-Grand_Sala_Thai-Bangkok.html,Как добраться,"4,0","4,0",4 104 руб - 5 836 руб,4 104 руб,5 836 руб
